,entity,code,year,youth_literacy_rate__population_15_24_years__male__pct__lr_ag15t24_m,youth_literacy_rate__population_15_24_years__female__pct__lr_ag15t24_f,owid_region
347,Cote d'Ivoire,CIV,2016,71.99,54.74,Africa
348,Cote d'Ivoire,CIV,2019,76.12893,61.00851,Africa
349,Cote d'Ivoire,CIV,2021,76.16,58.32,Africa
350,Cote d'Ivoire,CIV,2022,82.1118,,Africa
351,Croatia,HRV,1991,99.67,99.6,Europe
352,Croatia,HRV,2001,99.64,99.65,Europe
353,Cuba,CUB,2002,99.96,99.95,North America
354,Cuba,CUB,2012,99.86,99.9,North America
355,Cuba,CUB,2019,99.53,99.71,North America
356,Cyprus,CYP,1992,99.58,99.66,Europe
357,Cyprus,CYP,2001,99.74,99.82,Europe
358,Cyprus,CYP,2011,99.8,99.84,Europe
359,Democratic Republic of Congo,COD,2001,77.98,63.09,Africa
360,Democratic Republic of Congo,COD,2007,87.36,62.97,Africa
361,Democratic Republic of Congo,COD,2010,,64.32,Africa
362,Democratic Republic of Congo,COD,2012,91.05,76.66,Africa
363,Democratic Republic of Congo,COD,2013,92.56,76.58,Africa
364,Democratic Republic of Congo,COD,2016,90.96,79.71,Africa
365,Democratic Republic of Congo,COD,2018,90.82,77.54,Africa
366,Democratic Republic of Congo,COD,2020,,68.61347,Africa
367,Democratic Republic of Congo,COD,2023,87.8,68.28,Africa
368,Djibouti,DJI,2006,,51.81,Africa
369,Djibouti,DJI,2017,84.59259,74.57285,Africa
370,Dominican Republic,DOM,1981,81.26,83.94,North America
371,Dominican Republic,DOM,2000,93.2,96.5,North America
372,Dominican Republic,DOM,2001,94.3,96.6,North America
373,Dominican Republic,DOM,2002,93.0,95.42,North America
374,Dominican Republic,DOM,2003,94.7,96.9,North America
375,Dominican Republic,DOM,2004,95.2,96.7,North America
376,Dominican Republic,DOM,2005,96.2,97.3,North America
377,Dominican Republic,DOM,2006,95.3,97.9,North America
378,Dominican Republic,DOM,2007,94.63,96.93,North America
379,Dominican Republic,DOM,2008,95.6,97.4,North America
380,Dominican Republic,DOM,2009,96.2,98.4,North America
381,Dominican Republic,DOM,2010,95.78,97.88,North America
382,Dominican Republic,DOM,2011,96.09,98.05,North America
383,Dominican Republic,DOM,2012,96.32,97.77,North America
384,Dominican Republic,DOM,2013,96.76,98.25,North America
385,Dominican Republic,DOM,2014,97.35,98.04,North America
386,Dominican Republic,DOM,2015,97.23,98.03,North America
387,Dominican Republic,DOM,2016,98.81,98.87,North America
388,Dominican Republic,DOM,2017,97.8,98.4,North America
389,Dominican Republic,DOM,2018,98.0,99.1,North America
390,Dominican Republic,DOM,2019,98.3,97.83,North America
391,Dominican Republic,DOM,2020,98.6,99.1,North America
392,Dominican Republic,DOM,2021,98.7,99.0,North America
393,Dominican Republic,DOM,2022,98.1,98.9,North America
394,Dominican Republic,DOM,2023,98.3,98.8,North America
395,Dominican Republic,DOM,2024,97.65,98.79,North America
396,East Asia and Pacific (WB),WB_EAP,1976,92.11,75.8,
397,East Asia and Pacific (WB),WB_EAP,1977,92.16,76.1,
398,East Asia and Pacific (WB),WB_EAP,1978,92.71,77.89,
399,East Asia and Pacific (WB),WB_EAP,1979,93.22,79.74,
400,East Asia and Pacific (WB),WB_EAP,1980,93.65,81.54,
401,East Asia and Pacific (WB),WB_EAP,1981,94.0,83.12,
402,East Asia and Pacific (WB),WB_EAP,1982,94.26,84.4,
403,East Asia and Pacific (WB),WB_EAP,1983,94.53,85.62,
404,East Asia and Pacific (WB),WB_EAP,1984,94.78,86.65,
405,East Asia and Pacific (WB),WB_EAP,1985,95.0,87.46,
406,East Asia and Pacific (WB),WB_EAP,1986,95.16,88.12,
407,East Asia and Pacific (WB),WB_EAP,1987,96.01,89.43,
408,East Asia and Pacific (WB),WB_EAP,1988,96.43,91.42,
409,East Asia and Pacific (WB),WB_EAP,1989,96.42,91.76,
410,East Asia and Pacific (WB),WB_EAP,1990,96.42,92.07,
411,East Asia and Pacific (WB),WB_EAP,1991,96.44,92.4,
412,East Asia and Pacific (WB),WB_EAP,1992,96.47,92.71,
413,East Asia and Pacific (WB),WB_EAP,1993,96.48,92.97,
414,East Asia and Pacific (WB),WB_EAP,1994,96.59,93.37,
415,East Asia and Pacific (WB),WB_EAP,1995,96.71,93.77,
416,East Asia and Pacific (WB),WB_EAP,1996,96.81,94.09,
417,East Asia and Pacific (WB),WB_EAP,1997,98.03,96.97,
418,East Asia and Pacific (WB),WB_EAP,1998,98.05,97.08,
419,East Asia and Pacific (WB),WB_EAP,1999,98.05,97.21,
420,East Asia and Pacific (WB),WB_EAP,2000,98.08,97.22,
421,East Asia and Pacific (WB),WB_EAP,2001,98.08,97.35,
422,East Asia and Pacific (WB),WB_EAP,2002,98.12,97.48,
