,entity,code,year,adult_literacy_rate,youth_literacy_rate_male,youth_literacy_rate_female,owid_region
300,Democratic Republic of Congo,COD,2018,73.55,90.82,77.54,Africa
302,Democratic Republic of Congo,COD,2023,68.5,87.8,68.28,Africa
304,Dominican Republic,DOM,2002,87.0,93.0,95.42,North America
305,Dominican Republic,DOM,2007,88.24,94.63,96.93,North America
306,Dominican Republic,DOM,2010,89.54,95.78,97.88,North America
307,Dominican Republic,DOM,2011,90.11,96.09,98.05,North America
308,Dominican Republic,DOM,2012,90.16,96.32,97.77,North America
309,Dominican Republic,DOM,2013,90.86,96.76,98.25,North America
310,Dominican Republic,DOM,2014,91.76,97.35,98.04,North America
311,Dominican Republic,DOM,2015,91.99,97.23,98.03,North America
312,Dominican Republic,DOM,2016,93.78,98.81,98.87,North America
313,Dominican Republic,DOM,2017,93.233215,97.8,98.4,North America
314,Dominican Republic,DOM,2018,93.43606,98.0,99.1,North America
315,Dominican Republic,DOM,2019,93.67269,98.3,97.83,North America
316,Dominican Republic,DOM,2020,93.692635,98.6,99.1,North America
317,Dominican Republic,DOM,2021,93.73097,98.7,99.0,North America
318,Dominican Republic,DOM,2022,93.70224,98.1,98.9,North America
319,Dominican Republic,DOM,2023,94.31238,98.3,98.8,North America
335,East Asia and Pacific (WB),WB_EAP,1990,81.33,96.42,92.07,unknown
336,East Asia and Pacific (WB),WB_EAP,1991,81.84,96.44,92.4,unknown
337,East Asia and Pacific (WB),WB_EAP,1992,82.33,96.47,92.71,unknown
338,East Asia and Pacific (WB),WB_EAP,1993,82.77,96.48,92.97,unknown
339,East Asia and Pacific (WB),WB_EAP,1994,83.3,96.59,93.37,unknown
340,East Asia and Pacific (WB),WB_EAP,1995,83.84,96.71,93.77,unknown
341,East Asia and Pacific (WB),WB_EAP,1996,84.3,96.81,94.09,unknown
342,East Asia and Pacific (WB),WB_EAP,1997,89.27,98.03,96.97,unknown
343,East Asia and Pacific (WB),WB_EAP,1998,89.63,98.05,97.08,unknown
344,East Asia and Pacific (WB),WB_EAP,1999,89.95,98.05,97.21,unknown
345,East Asia and Pacific (WB),WB_EAP,2000,90.31,98.08,97.22,unknown
346,East Asia and Pacific (WB),WB_EAP,2001,90.63,98.08,97.35,unknown
347,East Asia and Pacific (WB),WB_EAP,2002,90.98,98.12,97.48,unknown
348,East Asia and Pacific (WB),WB_EAP,2003,91.35,98.19,97.7,unknown
349,East Asia and Pacific (WB),WB_EAP,2004,91.68,98.28,97.83,unknown
350,East Asia and Pacific (WB),WB_EAP,2005,92.02,98.33,97.96,unknown
351,East Asia and Pacific (WB),WB_EAP,2006,92.37,98.16,97.79,unknown
352,East Asia and Pacific (WB),WB_EAP,2007,93.51,98.5,98.19,unknown
353,East Asia and Pacific (WB),WB_EAP,2008,93.82,98.8,98.61,unknown
354,East Asia and Pacific (WB),WB_EAP,2009,94.09,98.74,98.6,unknown
355,East Asia and Pacific (WB),WB_EAP,2010,94.08,98.56,98.37,unknown
356,East Asia and Pacific (WB),WB_EAP,2011,94.3,98.62,98.44,unknown
357,East Asia and Pacific (WB),WB_EAP,2012,94.54,98.64,98.49,unknown
358,East Asia and Pacific (WB),WB_EAP,2013,94.62,98.65,98.62,unknown
359,East Asia and Pacific (WB),WB_EAP,2014,95.09,98.84,98.89,unknown
360,East Asia and Pacific (WB),WB_EAP,2015,95.3,98.92,98.91,unknown
361,East Asia and Pacific (WB),WB_EAP,2016,95.5,98.94,98.95,unknown
362,East Asia and Pacific (WB),WB_EAP,2017,95.69,98.93,98.97,unknown
363,East Asia and Pacific (WB),WB_EAP,2018,95.73,98.81,98.92,unknown
364,East Asia and Pacific (WB),WB_EAP,2019,95.87,98.84,98.95,unknown
365,East Asia and Pacific (WB),WB_EAP,2020,96.09,98.94,99.02,unknown
366,East Asia and Pacific (WB),WB_EAP,2021,96.22,98.96,99.06,unknown
