,entity,code,year,illiteracy_rate,literacy_rate
298,Chile,CHL,1992,5.709999,94.29
299,Chile,CHL,2002,4.279999,95.72
300,Chile,CHL,2011,3.300003,96.7
301,Chile,CHL,2013,3.7300034,96.27
302,Chile,CHL,2015,3.1299973,96.87
303,Chile,CHL,2017,3.5999985,96.4
306,China,CHN,1990,22.21,77.79
307,China,CHN,2000,9.080002,90.92
308,China,CHN,2010,4.8799973,95.12
309,China,CHN,2020,3.2600021,96.74
315,Colombia,COL,1993,8.940002,91.06
316,Colombia,COL,1996,8.790001,91.21
317,Colombia,COL,2004,7.199997,92.8
318,Colombia,COL,2005,7.1500015,92.85
319,Colombia,COL,2006,7.699997,92.3
320,Colombia,COL,2007,7.3499985,92.65
321,Colombia,COL,2008,6.6200027,93.38
322,Colombia,COL,2009,6.760002,93.24
323,Colombia,COL,2010,6.6299973,93.37
324,Colombia,COL,2011,6.419998,93.58
325,Colombia,COL,2014,5.8099976,94.19
326,Colombia,COL,2015,5.75,94.25
327,Colombia,COL,2016,5.3499985,94.65
328,Colombia,COL,2017,5.11261,94.88739
329,Colombia,COL,2018,4.9100037,95.09
330,Colombia,COL,2019,4.75,95.25
331,Colombia,COL,2020,4.3600006,95.64
332,Colombia,COL,2021,4.339348,95.66065
333,Colombia,COL,2022,4.6896896,95.31031
334,Colombia,COL,2023,4.543373,95.45663
335,Colombia,COL,2024,4.6600037,95.34
338,Comoros,COM,2000,31.75,68.25
339,Comoros,COM,2014,26.350502,73.6495
340,Comoros,COM,2021,24.379799,75.6202
342,Congo,COG,2005,23.89,76.11
346,Costa Rica,CRI,2000,5.1299973,94.87
347,Costa Rica,CRI,2011,2.5899963,97.41
349,Cote d'Ivoire,CIV,1998,63.65,36.35
350,Cote d'Ivoire,CIV,2000,51.26,48.74
351,Cote d'Ivoire,CIV,2014,56.09,43.91
352,Cote d'Ivoire,CIV,2016,49.96,50.04
353,Cote d'Ivoire,CIV,2021,50.0,50.0
354,Croatia,HRV,1991,3.300003,96.7
355,Croatia,HRV,2001,1.8499985,98.15
363,Cuba,CUB,2002,0.19999695,99.8
364,Cuba,CUB,2012,0.33000183,99.67
365,Cuba,CUB,2019,2.3499985,97.65
367,Cyprus,CYP,1992,5.6399994,94.36
368,Cyprus,CYP,2001,3.199997,96.8
369,Cyprus,CYP,2011,1.3199997,98.68
372,Democratic Republic of Congo,COD,2001,32.83,67.17
373,Democratic Republic of Congo,COD,2012,24.980003,75.02
374,Democratic Republic of Congo,COD,2016,22.96,77.04
375,Democratic Republic of Congo,COD,2018,26.449997,73.55
376,Democratic Republic of Congo,COD,2020,34.317123,65.68288
377,Democratic Republic of Congo,COD,2023,31.5,68.5
382,Dominican Republic,DOM,2002,13.0,87.0
383,Dominican Republic,DOM,2007,11.760002,88.24
384,Dominican Republic,DOM,2010,10.459999,89.54
385,Dominican Republic,DOM,2011,9.889999,90.11
386,Dominican Republic,DOM,2012,9.839996,90.16
387,Dominican Republic,DOM,2013,9.139999,90.86
388,Dominican Republic,DOM,2014,8.239998,91.76
389,Dominican Republic,DOM,2015,8.010002,91.99
390,Dominican Republic,DOM,2016,6.220001,93.78
391,Dominican Republic,DOM,2017,6.7667847,93.233215
392,Dominican Republic,DOM,2018,6.563942,93.43606
393,Dominican Republic,DOM,2019,6.3273087,93.67269
394,Dominican Republic,DOM,2020,6.3073654,93.692635
395,Dominican Republic,DOM,2021,6.2690277,93.73097
396,Dominican Republic,DOM,2022,6.29776,93.70224
397,Dominican Republic,DOM,2023,5.687622,94.31238
398,Dominican Republic,DOM,2024,5.970001,94.03
413,East Asia and Pacific (WB),WB_EAP,1990,18.669998,81.33
414,East Asia and Pacific (WB),WB_EAP,1991,18.160004,81.84
415,East Asia and Pacific (WB),WB_EAP,1992,17.669998,82.33
416,East Asia and Pacific (WB),WB_EAP,1993,17.230003,82.77
417,East Asia and Pacific (WB),WB_EAP,1994,16.699997,83.3
418,East Asia and Pacific (WB),WB_EAP,1995,16.160004,83.84
419,East Asia and Pacific (WB),WB_EAP,1996,15.699997,84.3
420,East Asia and Pacific (WB),WB_EAP,1997,10.730003,89.27
421,East Asia and Pacific (WB),WB_EAP,1998,10.370003,89.63
422,East Asia and Pacific (WB),WB_EAP,1999,10.050003,89.95
423,East Asia and Pacific (WB),WB_EAP,2000,9.690002,90.31
424,East Asia and Pacific (WB),WB_EAP,2001,9.370003,90.63
425,East Asia and Pacific (WB),WB_EAP,2002,9.019997,90.98
426,East Asia and Pacific (WB),WB_EAP,2003,8.650002,91.35
427,East Asia and Pacific (WB),WB_EAP,2004,8.32,91.68
428,East Asia and Pacific (WB),WB_EAP,2005,7.9800034,92.02
429,East Asia and Pacific (WB),WB_EAP,2006,7.6299973,92.37
430,East Asia and Pacific (WB),WB_EAP,2007,6.489998,93.51
431,East Asia and Pacific (WB),WB_EAP,2008,6.1800003,93.82
